index,from_node,to_node,r,x,b,s_max,From Zone,To Zone,Distance (miles),Resistance (ohms),Reactance (ohms),Line Type
1,1,2,0.000160386,0.000454106,2202.129018,1200,ME,NH,115,19.09,54.05,Overhead
2,3,2,0.000139466,0.000394875,2532.446977,1200,VT,NH,100,16.6,47,Overhead
3,3,4,0.0002092,0.000592313,1688.296559,1200,VT,WCMA,150,24.9,70.5,Overhead
4,4,2,0.000119975,0.000339593,2944.701451,1200,WCMA,NH,86,14.28,40.42,Overhead
5,5,4,0.000111573,0.0003159,3165.558721,1200,NEMA/BOST,WCMA,80,13.28,37.6,Overhead
6,5,2,0.0000879,0.000248771,4019.761146,1200,NEMA/BOST,NH,63,10.46,29.61,Overhead
7,5,8,0.0000418,0.000118463,8441.454294,1200,NEMA/BOST,SEMA,30,4.98,14.1,Overhead
8,4,6,0.0000418,0.000118463,8441.454294,1200,WCMA,CT,30,4.98,14.1,Overhead
9,4,7,0.0000907,0.000256669,3896.068477,1200,WCMA,RI,65,10.79,30.55,Overhead
10,5,7,0.0000558,0.00015795,6331.117442,1200,NEMA/BOST,RI,40,6.64,18.8,Overhead
11,6,7,0.0000892,0.00025272,3956.948401,1200,CT,RI,64,10.62,30.08,Overhead
12,8,7,0.0000279,0.000079,12658.22785,1200,SEMA,RI,20,3.32,9.4,Overhead
13,9,1,0.00081109,0.000230847,4331.881854,0,VINE,ME,300,96.54,27.47651113,Submarine
14,9,2,0.00051369,0.000364495,2743.525174,0,VINE,NH,190,61.142,43.38396495,Submarine
15,9,5,0.000291992,0.00064124,1559.477468,0,VINE,NEMA/BOST,108,34.7544,76.32364204,Submarine
16,9,8,0.000154107,0.001214982,823.0575523,0,VINE,SEMA,57,18.3426,144.6132165,Submarine
17,9,7,0.000181143,0.001033641,967.4536141,0,VINE,RI,67,21.5606,123.0291543,Submarine
18,9,6,0.000313622,0.000597017,1674.994317,0,VINE,CT,116,37.3288,71.05994259,Submarine
19,9,10,4.33E-05,0.004328373,231.0336989,0,VINE,MFLR1,16,5.1488,515.1845838,Submarine
20,9,11,4.33E-05,0.004328373,231.0336989,0,VINE,MFLR2,16,5.1488,515.1845838,Submarine
21,9,12,4.87E-05,0.003847443,259.9129113,0,VINE,COMW,18,5.7924,457.9418522,Submarine
22,9,13,3.51E-05,0.005327228,187.7148804,0,VINE,PKCTY,13,4.1834,634.0733339,Submarine
23,9,14,6.76E-05,0.002770159,360.9901545,0,VINE,REV,25,8.045,329.7181336,Submarine
24,10,1,0.000851645,0.000219854,4548.475947,0,MFLR1,ME,315,101.367,26.16810584,Submarine
25,10,2,0.000554245,0.000337824,2960.119267,0,MFLR1,NH,205,65.969,40.20952849,Submarine
26,10,5,0.000335251,0.0005585,1790.511166,0,MFLR1,NEMA/BOST,124,39.9032,66.47543016,Submarine
27,10,8,0.000197365,0.000948684,1054.091251,0,MFLR1,SEMA,73,23.4914,112.917169,Submarine
28,10,7,0.000210883,0.000887871,1126.289282,0,MFLR1,RI,78,25.1004,105.678889,Submarine
29,10,6,0.000332547,0.00056304,1776.07156,0,MFLR1,CT,123,39.5814,67.01588081,Submarine
30,10,11,1.08E-05,0.017313492,57.75842472,0,MFLR1,MFLR2,4,1.2872,2060.738335,Submarine
31,10,12,1.08E-05,0.017313492,57.75842472,0,MFLR1,COMW,4,1.2872,2060.738335,Submarine
32,10,13,1.89E-05,0.009893424,101.0772433,0,MFLR1,PKCTY,7,2.2526,1177.564763,Submarine
33,10,14,9.19E-05,0.002036881,490.9466102,0,MFLR1,REV,34,10.9412,242.4398041,Submarine
34,11,1,0.000848941,0.000220554,4534.036341,0,MFLR2,ME,314,101.0452,26.25144376,Submarine
35,11,2,0.000556949,0.000336184,2974.558873,0,MFLR2,NH,206,66.2908,40.0143366,Submarine
36,11,5,0.000335251,0.0005585,1790.511166,0,MFLR2,NEMA/BOST,124,39.9032,66.47543016,Submarine
37,11,8,0.000197365,0.000948684,1054.091251,0,MFLR2,SEMA,73,23.4914,112.917169,Submarine
38,11,7,0.000216291,0.000865675,1155.168494,0,MFLR2,RI,80,25.744,103.0369168,Submarine
39,11,6,0.000340658,0.000549635,1819.390379,0,MFLR2,CT,126,40.5468,65.4202646,Submarine
40,11,12,2.16E-05,0.008656746,115.5168494,0,MFLR2,COMW,8,2.5744,1030.369168,Submarine
41,11,13,2.43E-05,0.007694885,129.9564556,0,MFLR2,PKCTY,9,2.8962,915.8837045,Submarine
42,11,14,9.73E-05,0.001923721,519.8258225,0,MFLR2,REV,36,11.5848,228.9709261,Submarine
43,12,1,0.000859756,0.00021778,4591.794766,0,COMW,ME,318,102.3324,25.92123692,Submarine
44,12,2,0.000556949,0.000336184,2974.558873,0,COMW,NH,206,66.2908,40.0143366,Submarine
45,12,5,0.000335251,0.0005585,1790.511166,0,COMW,NEMA/BOST,124,39.9032,66.47543016,Submarine
46,12,8,0.000200069,0.000935864,1068.530857,0,COMW,SEMA,74,23.8132,111.3912614,Submarine
47,12,7,0.00020818,0.000899402,1111.849676,0,COMW,RI,77,24.7786,107.0513421,Submarine
48,12,6,0.000324436,0.000577116,1732.752742,0,COMW,CT,120,38.616,68.69127783,Submarine
49,12,13,1.62E-05,0.011542328,86.63763709,0,COMW,PKCTY,6,1.9308,1373.825557,Submarine
50,12,14,8.65E-05,0.002164186,462.0673978,0,COMW,REV,32,10.2976,257.5922919,Submarine
51,13,1,0.000843534,0.000221968,4505.157128,0,PKCTY,ME,312,100.4016,26.41972224,Submarine
52,13,2,0.000540727,0.00034627,2887.921236,0,PKCTY,NH,200,64.36,41.2147667,Submarine
53,13,5,0.000319029,0.000586898,1703.873529,0,PKCTY,NEMA/BOST,118,37.9724,69.85553678,Submarine
54,13,8,0.000183847,0.001018441,981.8932203,0,PKCTY,SEMA,68,21.8824,121.2199021,Submarine
55,13,7,0.000194662,0.000961861,1039.651645,0,PKCTY,RI,72,23.1696,114.4854631,Submarine
56,13,6,0.000316325,0.000591914,1689.433923,0,PKCTY,CT,117,37.6506,70.45259265,Submarine
57,13,14,7.30E-05,0.002564962,389.8693669,0,PKCTY,REV,27,8.6886,305.2945682,Submarine
58,14,1,0.000805683,0.000232396,4303.002642,0,REV,ME,298,95.8964,27.66091725,Submarine
59,14,2,0.000478543,0.000391265,2555.810294,0,REV,NH,177,56.9586,46.57035785,Submarine
60,14,5,0.000254142,0.000736744,1357.322981,0,REV,NEMA/BOST,94,30.2492,87.69099298,Submarine
61,14,8,0.000137885,0.001357921,736.4199152,0,REV,SEMA,51,16.4118,161.6265361,Submarine
62,14,7,0.000121664,0.001538977,649.7822781,0,REV,RI,45,14.481,183.1767409,Submarine
63,14,6,0.000246031,0.000761033,1314.004162,0,REV,CT,91,29.2838,90.58190484,Submarine
