ave_marg_damages_isrm_LePeule,node,fuel,longitude,unit,tech,status,zone,latitude,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
28.3176,3,Gas,-72.671667,New NG-CT 3,NG-CT,New,VT,43.926667,68576.27613,11752349,131699595.3,SO X5
133.6953449,3,Oil,-72.6027,Existing Oil 52,Oil,Existing,VT,44.251,3213.528647,49101.93499,3907149.496,SO X5
133.6953449,4,Oil,-72.5911,Existing Oil 66,Oil,Existing,WCMA,42.1483,712.8,14134.5,1067464.254,SO X5
19.18844466,6,Oil,-72.579075,Existing Oil 7,Oil,Existing,CT,41.554944,22502.184,323642.5441,3124092.584,SO X5
133.6953449,6,Oil,-72.576666,Existing Oil 145,Oil,Existing,CT,41.554444,15003.80436,273958.68,20824650.83,SO X5
220.9678966,4,Oil,-72.5106,Existing Oil 58,Oil,Existing,WCMA,42.1978,24429.69844,364318.5009,38851289.78,SO X5
28.3176,4,Gas,-72.506761,New NG-CT 4,NG-CT,New,WCMA,42.395356,72907.21635,12367225.1,138590041.9,SO X5
133.6953449,3,Oil,-72.4203,Existing Oil 50,Oil,Existing,VT,43.4011,1148.4,22968,1736079.463,SO X5
133.6953449,2,Oil,-72.286735,Existing Oil 112,Oil,Existing,NH,43.701916,583.2139803,12226.0699,902070.0787,SO X5
133.6953449,6,Oil,-72.2322,Existing Oil 154,Oil,Existing,CT,41.5683,478.4,10842,791748.4854,SO X5
133.6953449,6,Oil,-72.1175,Existing Oil 153,Oil,Existing,CT,41.5694,478.4,10842,791748.4854,SO X5
133.6953449,6,Oil,-72.1022,Existing Oil 150,Oil,Existing,CT,41.4711,946.4,21632,1580745.766,SO X5
131.7203012,6,Oil,-72.1019,Existing Oil 4,Oil,Existing,CT,41.4281,21562.34136,328803.7068,20694533.64,SO X5
133.6953449,6,Oil,-72.093611,Existing Oil 181,Oil,Existing,CT,41.542778,946.4,21632,1580745.766,SO X5
133.6953449,6,Oil,-72.0833,Existing Oil 156,Oil,Existing,CT,41.5256,184.5405782,4172.702891,304815.9433,SO X5
133.6953449,6,Oil,-72.0825,Existing Oil 149,Oil,Existing,CT,41.362778,478.4,10842,791748.4854,SO X5
145.0566647,6,Oil,-72.064935,Existing Oil 14,Oil,Existing,CT,41.52679,1634.290888,32514.72548,2726246.38,SO X5
133.6953449,3,Oil,-72.055357,Existing Oil 55,Oil,Existing,VT,44.887379,246.4,4886,368999.989,SO X5
242.6216617,6,Oil,-72.041829,Existing Oil 5,Oil,Existing,CT,41.555425,1635.399374,35297.83093,4789289.876,SO X5
133.6953449,6,Oil,-72.0411,Existing Oil 155,Oil,Existing,CT,41.3469,478.4,10842,791748.4854,SO X5
133.6953449,6,Oil,-72.02,Existing Oil 151,Oil,Existing,CT,41.3367,478.4,10842,791748.4854,SO X5
133.6953449,6,Oil,-71.9825,Existing Oil 152,Oil,Existing,CT,41.6041,239.2,5421,395874.2427,SO X5
133.6953449,2,Oil,-71.87268,Existing Oil 113,Oil,Existing,NH,42.971653,178.5,4242,301104.505,SO X5
133.6953449,4,Oil,-71.7172,Existing Oil 60,Oil,Existing,WCMA,42.2747,1190,24220,1830536.949,SO X5
133.6953449,2,Oil,-71.6881,Existing Oil 116,Oil,Existing,NH,43.7644,237.5807283,5542.79663,395483.3334,SO X5
28.3176,7,Gas,-71.576667,New NG-CT 7,NG-CT,New,RI,41.671667,86977.65865,14707618.04,164817037.3,SO X5
133.6953449,8,Oil,-71.56,Existing Oil 68,Oil,Existing,SEMA,42.388611,276.8,6920,761141.1185,SO X5
133.6953449,2,Oil,-71.494398,Existing Oil 43,Oil,Existing,NH,44.595117,1400.757057,29743.10891,2204765.958,SO X5
105.4654119,2,Coal,-71.4692,Existing Coal 44,Coal,Existing,NH,43.1411,337890.0244,63430582.46,3944960909,SO X5
105.4654119,2,Oil,-71.4692,Existing Oil 45,Oil,Existing,NH,43.1411,2489.297286,27326.48643,1915984.372,SO X5
133.6953449,7,Oil,-71.458415,Existing Oil 93,Oil,Existing,RI,41.744973,830.2110796,20401.0554,1497378.831,SO X5
440.3672816,8,Oil,-71.446441,Existing Oil 23,Oil,Existing,SEMA,42.140028,8261.83101,217930.7337,53732432.57,SO X5
133.6953449,8,Oil,-71.436065,Existing Oil 182,Oil,Existing,SEMA,42.297949,138,4420,322282.7186,SO X5
133.6953449,8,Oil,-71.3983,Existing Oil 18,Oil,Existing,SEMA,42.2672,2582.202771,74255.01385,5581975.728,SO X5
28.3176,5,Gas,-71.361273,New NG-CT 5,NG-CT,New,NEMA,42.498045,208594.6424,36710935.9,411391407.9,SO X5
133.6953449,8,Oil,-71.308111,Existing Oil 120,Oil,Existing,SEMA,42.293927,200.1,6409,467309.9419,SO X5
133.6953449,2,Oil,-71.2069,Existing Oil 48,Oil,Existing,NH,43.8478,1409.099652,25366.49826,1989517.218,SO X5
60.37583423,8,Coal,-71.1931,Existing Coal 29,Coal,Existing,SEMA,41.7103,829161.1007,160072614.9,5717174876,SO X5
133.6953449,8,Oil,-71.1931,Existing Oil 30,Oil,Existing,SEMA,41.7103,21355.53174,542495.0703,35553956.12,SO X5
133.6953449,8,Oil,-71.0559,Existing Oil 105,Oil,Existing,SEMA,42.3436,138,4420,322282.7186,SO X5
535.74911,8,Oil,-71.031407,Existing Oil 73,Oil,Existing,SEMA,42.339387,3851.341511,113824.2077,34068191.02,SO X5
34.13986798,8,Oil,-70.9672,Existing Oil 37,Oil,Existing,SEMA,42.235,186.3,5967,111100.5831,SO X5
133.6953449,8,Oil,-70.962778,Existing Oil 82,Oil,Existing,SEMA,42.353333,3048.14714,90120.7357,6773449.882,SO X5
133.6953449,8,Oil,-70.8697,Existing Oil 40,Oil,Existing,SEMA,42.6986,165.6,5304,386739.2623,SO X5
133.6953449,8,Oil,-70.8583,Existing Oil 63,Oil,Existing,SEMA,42.5131,372.6,11934,870163.3401,SO X5
13.74748878,2,Oil,-70.790833,Existing Oil 67,Oil,Existing,NH,43.1,23617.83842,341654.0168,2582612.76,SO X5
20.39510344,2,Coal,-70.7842,Existing Coal 46,Coal,Existing,NH,43.0978,74510.74927,13812600.68,166060825.7,SO X5
20.39510344,2,Oil,-70.7842,Existing Oil 47,Oil,Existing,NH,43.0978,1542.699306,27342.82851,333065.7349,SO X5
28.3176,8,Gas,-70.780095,New NG-CT 8,NG-CT,New,SEMA,41.850783,68410.63256,11767512.22,131869517.9,SO X5
133.6953449,8,Oil,-70.620089,Existing Oil 57,Oil,Existing,SEMA,41.392486,372.6,11934,870163.3401,SO X5
133.6953449,8,Oil,-70.608273,Existing Oil 26,Oil,Existing,SEMA,41.425786,551.6612904,17864.80645,1303330.09,SO X5
7.809595005,8,Oil,-70.5097,Existing Oil 27,Oil,Existing,SEMA,41.7694,35919.20155,843047.7844,3051681.307,SO X5
133.6953449,1,Oil,-70.2544,Existing Oil 16,Oil,Existing,ME,43.6436,2381.151549,31430.23318,2689251.19,SO X5
44.16033273,1,Oil,-70.1567,Existing Oil 17,Oil,Existing,ME,43.7508,32070.98059,393811.442,7992554.468,SO X5
133.6953449,1,Oil,-69.2019,Existing Oil 90,Oil,Existing,ME,44.3331,170,4040,286766.1952,SO X5
133.6953449,1,Oil,-67.0033,Existing Oil 15,Oil,Existing,ME,44.9136,170,4040,286766.1952,SO X5
60.37583423,8,Coal,-71.1931,Existing Coal 29,Coal,Existing,SEMA,41.7103,460947.0437,162911418.9,5766400210,SO
105.4654119,2,Coal,-71.4692,Existing Coal 44,Coal,Existing,NH,43.1411,185915.1237,64951625.68,4020526603,SO
20.39510344,2,Coal,-70.7842,Existing Coal 46,Coal,Existing,NH,43.0978,40381.62004,14070531.56,168244552.7,SO
72.79641688,6,Oil,-72.7942,Existing Oil 1,Oil,Existing,CT,41.2925,370.6,37387,1474460.288,SO
339.9972675,6,Oil,-73.120886,Existing Oil 10,Oil,Existing,CT,41.776109,340.2821517,34658.39365,6408082.63,SO
133.6953449,8,Oil,-71.0559,Existing Oil 105,Oil,Existing,SEMA,42.3436,50,4870,341136.0405,SO
133.6953449,2,Oil,-72.286735,Existing Oil 112,Oil,Existing,NH,43.701916,84,11445,786728.1397,SO
133.6953449,2,Oil,-71.87268,Existing Oil 113,Oil,Existing,NH,42.971653,25.2,3433.5,236018.4419,SO
133.6953449,2,Oil,-71.6881,Existing Oil 116,Oil,Existing,NH,43.7644,33.6,4578,314691.2559,SO
133.6953449,8,Oil,-71.308111,Existing Oil 120,Oil,Existing,SEMA,42.293927,72.5,7061.5,494647.2588,SO
145.0566647,6,Oil,-72.064935,Existing Oil 14,Oil,Existing,CT,41.52679,399,39425,3007577.343,SO
133.6953449,6,Oil,-73.5564,Existing Oil 140,Oil,Existing,CT,41.0372,713.3962854,64748.33233,5288350.15,SO
133.6953449,6,Oil,-72.576666,Existing Oil 145,Oil,Existing,CT,41.554444,2962.852312,266656.7081,19636331.26,SO
133.6953449,6,Oil,-73.1075,Existing Oil 146,Oil,Existing,CT,41.2108,2651.896551,238670.6896,17898267.79,SO
133.6953449,6,Oil,-72.0825,Existing Oil 149,Oil,Existing,CT,41.362778,109.2,10790,758656.4346,SO
133.6953449,1,Oil,-67.0033,Existing Oil 15,Oil,Existing,ME,44.9136,24,3270,224779.4685,SO
133.6953449,6,Oil,-72.1022,Existing Oil 150,Oil,Existing,CT,41.4711,218.4,21580,1517312.869,SO
133.6953449,6,Oil,-72.02,Existing Oil 151,Oil,Existing,CT,41.3367,109.2,10790,758656.4346,SO
133.6953449,6,Oil,-71.9825,Existing Oil 152,Oil,Existing,CT,41.6041,54.6,5395,379328.2173,SO
133.6953449,6,Oil,-72.1175,Existing Oil 153,Oil,Existing,CT,41.5694,109.2,10790,758656.4346,SO
133.6953449,6,Oil,-72.2322,Existing Oil 154,Oil,Existing,CT,41.5683,109.2,10790,758656.4346,SO
133.6953449,6,Oil,-72.0411,Existing Oil 155,Oil,Existing,CT,41.3469,109.2,10790,758656.4346,SO
133.6953449,6,Oil,-72.0833,Existing Oil 156,Oil,Existing,CT,41.5256,42,4150,291790.9364,SO
133.6953449,6,Oil,-73.3928,Existing Oil 158,Oil,Existing,CT,41.1117,126,12450,875372.8091,SO
133.6953449,1,Oil,-70.2544,Existing Oil 16,Oil,Existing,ME,43.6436,225.8382737,36205.52528,2518661.904,SO
44.16033273,1,Oil,-70.1567,Existing Oil 17,Oil,Existing,ME,43.7508,2506.109772,225549.8795,3941651.776,SO
133.6953449,6,Oil,-72.768611,Existing Oil 172,Oil,Existing,CT,41.691389,21,2075,145895.4682,SO
133.6953449,6,Oil,-72.756389,Existing Oil 179,Oil,Existing,CT,41.483611,60.9,6017.5,423096.8577,SO
133.6953449,8,Oil,-71.3983,Existing Oil 18,Oil,Existing,SEMA,42.2672,843.8673871,75948.06484,5553051.117,SO
133.6953449,6,Oil,-72.093611,Existing Oil 181,Oil,Existing,CT,41.542778,218.4,21580,1517312.869,SO
133.6953449,8,Oil,-71.436065,Existing Oil 182,Oil,Existing,SEMA,42.297949,50,4870,341136.0405,SO
151.8447747,6,Oil,-73.5989,Existing Oil 2,Oil,Existing,CT,41.0289,1464.20652,140720.2535,12103052.14,SO
440.3672816,8,Oil,-71.446441,Existing Oil 23,Oil,Existing,SEMA,42.140028,2429.177978,230190.6106,54473073.51,SO
133.6953449,8,Oil,-70.608273,Existing Oil 26,Oil,Existing,SEMA,41.425786,202.5,19723.5,1381600.964,SO
7.809595005,8,Oil,-70.5097,Existing Oil 27,Oil,Existing,SEMA,41.7694,9615.072573,865356.5315,3057874.853,SO
21.94525142,6,Oil,-73.108976,Existing Oil 3,Oil,Existing,CT,41.209797,3109.402518,279846.2266,3469056.379,SO
133.6953449,8,Oil,-71.1931,Existing Oil 30,Oil,Existing,SEMA,41.7103,5024.704091,452223.3682,28375293.6,SO
92.97915266,4,Oil,-73.2058,Existing Oil 31,Oil,Existing,WCMA,42.4433,323.9053652,33054.98287,1707557.345,SO
46.07783098,4,Oil,-73.235486,Existing Oil 35,Oil,Existing,WCMA,42.336215,329.3486645,33415.3798,844711.3396,SO
34.13986798,8,Oil,-70.9672,Existing Oil 37,Oil,Existing,SEMA,42.235,67.5,6574.5,117599.8924,SO
131.7203012,6,Oil,-72.1019,Existing Oil 4,Oil,Existing,CT,41.4281,3104.390542,279395.1488,16230507.09,SO
133.6953449,8,Oil,-70.8697,Existing Oil 40,Oil,Existing,SEMA,42.6986,60,5844,409363.2486,SO
133.6953449,2,Oil,-71.494398,Existing Oil 43,Oil,Existing,NH,44.595117,214.4767063,29292.90357,2015761.747,SO
105.4654119,2,Oil,-71.4692,Existing Oil 45,Oil,Existing,NH,43.1411,223.2,33852,1865140.802,SO
20.39510344,2,Oil,-70.7842,Existing Oil 47,Oil,Existing,NH,43.0978,222.9459208,31831.13287,340268.1585,SO
133.6953449,2,Oil,-71.2069,Existing Oil 48,Oil,Existing,NH,43.8478,204.6,28737,2001881.42,SO
242.6216617,6,Oil,-72.041829,Existing Oil 5,Oil,Existing,CT,41.555425,388.5,38387.5,4898090.637,SO
133.6953449,3,Oil,-72.4203,Existing Oil 50,Oil,Existing,VT,43.4011,198,22704,1603634.407,SO
133.6953449,3,Oil,-72.9923,Existing Oil 51,Oil,Existing,VT,43.603,198,22704,1603634.407,SO
133.6953449,3,Oil,-72.6027,Existing Oil 52,Oil,Existing,VT,44.251,390.8951676,48505.3609,3454196.611,SO
133.6953449,3,Oil,-73.1703,Existing Oil 53,Oil,Existing,VT,44.4906,270,30960,2186774.191,SO
133.6953449,3,Oil,-73.1164,Existing Oil 54,Oil,Existing,VT,44.4821,120,13760,971899.6403,SO
133.6953449,3,Oil,-72.055357,Existing Oil 55,Oil,Existing,VT,44.887379,42,4816,340164.8741,SO
133.6953449,3,Oil,-73.2239,Existing Oil 56,Oil,Existing,VT,44.4814,280.5,34680,2481229.512,SO
133.6953449,8,Oil,-70.620089,Existing Oil 57,Oil,Existing,SEMA,41.392486,135,13149,921067.3095,SO
220.9678966,4,Oil,-72.5106,Existing Oil 58,Oil,Existing,WCMA,42.1978,3784.136433,340572.279,35906421.21,SO
206.9482785,6,Oil,-73.116267,Existing Oil 6,Oil,Existing,CT,41.798943,356.6963908,36135.67518,4132648.223,SO
133.6953449,4,Oil,-71.7172,Existing Oil 60,Oil,Existing,WCMA,42.2747,265.6927973,29035.51925,2004934.446,SO
49.37634365,6,Oil,-72.904323,Existing Oil 61,Oil,Existing,CT,41.283997,3581.301008,322317.0907,6965525.813,SO
133.6953449,8,Oil,-70.8583,Existing Oil 63,Oil,Existing,SEMA,42.5131,135,13149,921067.3095,SO
133.6953449,3,Oil,-73.0631,Existing Oil 65,Oil,Existing,VT,43.7089,138,15824,1117684.586,SO
133.6953449,4,Oil,-72.5911,Existing Oil 66,Oil,Existing,WCMA,42.1483,153.9,16848,1162583.821,SO
13.74748878,2,Oil,-70.790833,Existing Oil 67,Oil,Existing,NH,43.1,3074.82711,350734.4399,2334937.601,SO
133.6953449,8,Oil,-71.56,Existing Oil 68,Oil,Existing,SEMA,42.388611,69.2,6228,685027.0067,SO
19.18844466,6,Oil,-72.579075,Existing Oil 7,Oil,Existing,CT,41.554944,3040.602813,273654.2532,2345963.665,SO
535.74911,8,Oil,-71.031407,Existing Oil 73,Oil,Existing,SEMA,42.339387,1212.369309,109544.9044,32153190.26,SO
133.6953449,8,Oil,-70.962778,Existing Oil 82,Oil,Existing,SEMA,42.353333,939.7833719,84580.50347,6159016.579,SO
133.6953449,1,Oil,-69.2019,Existing Oil 90,Oil,Existing,ME,44.3331,24,3270,224779.4685,SO
133.6953449,7,Oil,-71.458415,Existing Oil 93,Oil,Existing,RI,41.744973,210,20750,1458954.682,SO
28.3176,4,Gas,-72.506761,New NG-CT 4,NG-CT,New,WCMA,42.395356,37635.1091,12778061.85,143193975.4,SO
28.3176,5,Gas,-71.361273,New NG-CT 5,NG-CT,New,NEMA,42.498045,98378.12078,33572544.1,376221848.9,SO
28.3176,6,Gas,-72.7137063,New NG-CT 6,NG-CT,New,CT,41.6184324,38415.31246,13250306.85,148486064.3,SO
28.3176,7,Gas,-71.576667,New NG-CT 7,NG-CT,New,RI,41.671667,37181.94077,12581047.2,140986182.8,SO
28.3176,8,Gas,-70.780095,New NG-CT 8,NG-CT,New,SEMA,41.850783,38682.79123,13310567.7,149161361.7,SO
60.37583423,8,Coal,-71.1931,Existing Coal 29,Coal,Existing,SEMA,41.7103,76213.23617,963666.1809,26194328.5,MO X5
105.4654119,2,Coal,-71.4692,Existing Coal 44,Coal,Existing,NH,43.1411,30736.57436,399578.011,19198627.71,MO X5
20.39510344,2,Coal,-70.7842,Existing Coal 46,Coal,Existing,NH,43.0978,8842.419127,153712.0956,1440986.821,MO X5
72.79641688,6,Oil,-72.7942,Existing Oil 1,Oil,Existing,CT,41.2925,828.4,9374,295611.1595,MO X5
339.9972675,6,Oil,-73.120886,Existing Oil 10,Oil,Existing,CT,41.776109,239.8,1199,169427.379,MO X5
133.6953449,8,Oil,-71.0559,Existing Oil 105,Oil,Existing,SEMA,42.3436,4,340,17988.64788,MO X5
133.6953449,2,Oil,-72.286735,Existing Oil 112,Oil,Existing,NH,43.701916,182,910,58895.18083,MO X5
133.6953449,2,Oil,-71.87268,Existing Oil 113,Oil,Existing,NH,42.971653,54.6,273,17668.55425,MO X5
133.6953449,2,Oil,-71.6881,Existing Oil 116,Oil,Existing,NH,43.7644,72.8,364,23558.07233,MO X5
133.6953449,8,Oil,-71.308111,Existing Oil 120,Oil,Existing,SEMA,42.293927,5.8,493,26083.53942,MO X5
145.0566647,6,Oil,-72.064935,Existing Oil 14,Oil,Existing,CT,41.52679,247,1235,76920.4096,MO X5
133.6953449,6,Oil,-73.5564,Existing Oil 140,Oil,Existing,CT,41.0372,1267.466666,6571.999986,397219.4291,MO X5
133.6953449,6,Oil,-72.576666,Existing Oil 145,Oil,Existing,CT,41.554444,4389.10624,21945.5312,1301120.901,MO X5
133.6953449,6,Oil,-73.1075,Existing Oil 146,Oil,Existing,CT,41.2108,4427.112057,30975.21789,1777067.829,MO X5
133.6953449,6,Oil,-72.0825,Existing Oil 149,Oil,Existing,CT,41.362778,98.8,494,30146.98685,MO X5
133.6953449,1,Oil,-67.0033,Existing Oil 15,Oil,Existing,ME,44.9136,46,230,14947.61196,MO X5
133.6953449,6,Oil,-72.1022,Existing Oil 150,Oil,Existing,CT,41.4711,187.2,936,56782.66153,MO X5
133.6953449,6,Oil,-72.02,Existing Oil 151,Oil,Existing,CT,41.3367,98.8,494,30146.98685,MO X5
133.6953449,6,Oil,-71.9825,Existing Oil 152,Oil,Existing,CT,41.6041,49.4,247,15073.49343,MO X5
133.6953449,6,Oil,-72.1175,Existing Oil 153,Oil,Existing,CT,41.5694,98.8,494,30146.98685,MO X5
133.6953449,6,Oil,-72.2322,Existing Oil 154,Oil,Existing,CT,41.5683,98.8,494,30146.98685,MO X5
133.6953449,6,Oil,-72.0411,Existing Oil 155,Oil,Existing,CT,41.3469,98.8,494,30146.98685,MO X5
